,Unnamed: 0,title,plot,fact,id,genres,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,keywords,year
18,18,#IMomSoHard Live,No Information,No Information,625540,Comedy,en,Comedians Kristin Hensley and Jen Smedley of the viral webseries #IMOMSOHARD bring you their 2-person stand-up show! Combining stand-up & improvisation the two share their honest and self-effacing humor on topics ranging from friendship periods sex after marriage body image and parenting failures. Because hey: You’re not in this alone ladies.,1.732,No Information,8/24/2019,0,0,61,Released,No Information,4.0,1,"Kristin Hensley, Jen Smedley","stand, up comedy, motherhood",2019
19,19,#Like,No Information,No Information,632076,Thriller,en,Woodstock teen Rosie mourning the first anniversary of her younger sister's death discovers the mysterious man who sexploited and bullied her sister to commit suicide is back on-line trolling for new victims. After the authorities refuse to get involved she finds a darkness she never knew she had when she takes justice into her own hands.,1.506,"Giant Pictures, DAME WORK Inc.",3/9/2019,0,0,93,Released,The story of a girl who writes her own ending...,5.0,4,"Marc Menchaca, Jeff Wincott, Sarah Rich, Dakota Lustick, Samantha Nicole Dunn",No Information,2019
20,20,#LoveSwag,No Information,No Information,486816,Comedy,en,In this risqué urban romantic comedy Bronson is a legendary-mogul who is able to bed women at will until he develops an embarrassing medical condition that renders his mastery in the bedroom unacceptable with the ladies. On his way to getting his swagger back -- restoring his name-- and redeeming his company's respectability will he have to run-out on the only woman eager to stay by his side and nurse him back to health?,1.42,Maverick Entertainment Group,2/14/2015,0,0,90,Released,"There is no right way to do wrong, and no wrong way to do right.",0.0,0,"Shyla Génair, Giovanni Watson, Yaritza Betancourt, Charles Mathers, Anica Barbosa",No Information,2015
21,21,#LuckyNumber,No Information,No Information,359732,Comedy,en,Made for TV movie based on a true story an aspiring New York City sportscaster's life is on the slow track until he serendipitously gets the old cell phone number of a basketball superstar. Will the number be his ticket to success or a path to destruction?,3.175,36films,9/1/2015,1000000,0,80,Released,What would YOU do with a superstars old phone number?,4.8,4,"Tom Pelphrey, Natalie Hall, Method Man, Malcolm Goodwin, Joseph Russo",No Information,2015
22,22,#NoJoke,No Information,No Information,617917,Documentary,en,A musician's journey to create a song with some of the biggest stars in the industry. Along the way he faces up to his painful past while giving viewers a deep personal insight into the issue of bullying.,1.4,Lofty Sky Pictures,9/9/2019,0,0,72,Released,Bullies won't stop your dream,6.2,4,"Andrew Cole, Patrick Stewart, Jane Lynch, Michael Biehn, Jeff Goldblum",No Information,2019
23,23,#PopFan,No Information,No Information,290753,"Mystery, Thriller, TV Movie",en,An obsessive fan rescues a famous musician from a car crash then takes her to his secluded lighthouse.,3.595,No Information,8/23/2014,0,0,109,Released,A fan's crush. A fatal obsession.,4.6,14,"Nolan Gerard Funk, Benjamin Hollingsworth, Chelsea Kane, Danny Wattley, Kehli O'Byrne","obsession, kidnapping, musician, lighthouse, car accident",2014
24,24,#Roxy,No Information,No Information,490488,"Comedy, Romance",en,Cyrus Nollen Bergerac High's resident big-nosed hacker uses social media to help a handsome star athlete win the heart of his best friend Roxy despite the fact that he is deeply in love with her himself.,2.62,"Super Channel, Studio Hamburg Enterprises, Mosaic Entertainment, Upstream Flix, Spesch",4/13/2018,1000000,0,100,Released,"To Get the Girl, Sometimes All You Need is a Nose for Confidence",6.1,10,"Danny Trejo, Booboo Stewart, Sarah Fisher, Jake Short, Pippa Mackie","sports, romance",2018
25,25,#Rucker50,No Information,No Information,433479,Documentary,en,The celebratory explosion of basketball history makers legend shakers and lawbreakers; juxtaposed against important events in Civil &amp; Human Rights. The 50 years of The Rucker's ripples reverberate throughout Basketball Hip-Hop Harlem and life.,2.645,"MaryEa Media Productions, HPI Films",12/28/2016,0,0,56,Released,No Information,3.7,3,Inez Dickens,"basketball, black history",2016
26,26,#SCREAMERS,No Information,No Information,419627,Horror,en,When an internet company decides to investigate a series of 'Screamer' videos they are confronted with havoc and hell they could never expect.,3.963,"Sunfilm Entertainment, Epic Pictures Group, Tiberius Film, Dread Central Media, Trick Candle Productions",10/14/2016,0,0,85,Released,"When you hear the scream, it's already too late.",4.5,13,"Abbi Snee, Theodora Miranne, Tom Malloy, Griffin Matthews, Chris Bannow",found footage,2016
27,27,"#SixtyMinutesLive​ - Dizzee Rascal, BBK, Lethal Bizzle, Tempa T, Fekky, Footsie & General Levy",No Information,No Information,793259,No Information,en,Dizzee Rascal Skepta JME Footsie Jammer Fekky Lethal Bizzle Tempa T & General Levy spit together for the first ever Grime Takeover on #SixtyMinutesLive​ for MistaJam's BBC Radio 1Xtra Show.,1.379,No Information,8/8/2014,0,0,23,Released,No Information,6.5,1,"Dizzie Rascal, Tempa T, JME, General Levy, Lethal Bizzle",No Information,2014
28,28,#SquadGoals,No Information,No Information,500734,"Drama, Thriller",en,Ambitious high school senior Samantha Hodges is a serious journalist both for the school paper and for the yearbook but she's just as serious about her friends Nate Gillian and Rudy all of whom are vying with her for a full-ride local scholarship to college. Very close to her mother Emily who is the school's guidance counselor Samantha finds her reporting taking an investigative turn when two of her classmates--and contenders for the scholarship--are murdered.,4.451,"Metro, Goldwyn, Mayer, MarVista Entertainment, Cartel Pictures",1/16/2018,0,0,90,Released,She Has to Find a Killer Before Becoming the Next Victim,4.75,22,"Corey Fogelmanis, Kennedy Lea Slocum, Peyton Clark, Paris Berelc, Pedro Correa",friendship,2018
