text
"""BLESSED"" (release on 2018-11-22) is released, and is an en film. The movie is a 85.0 minute long. Here's a short summary: Supreme presents ""BLESSED"" a full length video directed by William Strobeck featuring Tyshawn Jones Ben Kadow Sean Pablo Aidan Mackey Na-kel Smith Sage Elsesser Vincent Touzery Kevin Bradley Rowan Zorilla Kevin Rodrigues Mark Gonzales Jason Dill and more. Movie's genres: Documentary, Adventure. This film is notable for featuring Tyshawn Jones, Ben Kadow, Aidan Mackey, Sean Pablo, Vincent Touzery among its cast members.$ Total 2.0 people has voted the movie.$ And the movie has average vote as 4.0.$ The popularity of the movie is 1.506."
"""That's Awesome!"": The Story of 'Dumb and Dumber To' (release on 2015-02-17) is released, and is an en film. The movie is a 45.0 minute long. Here's a short summary: An expansive five-part 45 minute making-of with cast and crew interviews. Movie's genres: Documentary, Comedy. This film is notable for featuring Steve Tom, Rob Riggle, Jeff Daniels, Jim Carrey, Carly Craig among its cast members.$ Total 7.0 people has voted the movie.$ And the movie has average vote as 7.6.$ The popularity of the movie is 2.51."
"""Weird Al"" Yankovic: The Ultimate Video Collection (release on 2003-02-09) is released, and is an en film. The movie is a 90.0 minute long. Here's a short summary: A collection of Weird Al Yankovic's parody and original music videos including ""The Saga Begins"" and ""All About The Pentiums"" from the ""Running With Scissors"" album and ""Bob"" from the ""Poodle Hat"" album. Movie's genres: Music. This film is notable for featuring 'Weird Al' Yankovic among its cast members. ""Weird Al"" Yankovic in 3-D followed in February 1984. It peaked at number 17 on the Billboard 200 and was certified platinum by the RIAA, while also charting in Australia and Canada. The album's lead single ""Eat It"" was a commercial success, topping the Australian singles chart and also reaching the top 15 in Canada and the United States. Follow-up singles ""King of Suede"" and ""I Lost on Jeopardy"" peaked at numbers 62 and 81 respectively on the Hot 100. Yankovic's third studio album, Dare to Be Stupid, was released in June 1985, peaked at number 17 on the Billboard 200, and produced six singles, the most successful being the Hot 100 hit ""Like a Surgeon"". Issued in October 1986, his fourth studio album Polka Party! charted at a disappointing number 177 on the Billboard 200, with the album and its accompanying singles failing to match the commercial success of Yankovic's previous work. His fifth studio album, released in April 1988, Even Worse, fared better commercially, peaking at number 27 on the Billboard 200 and earning him a minor chart hit with the single ""Fat"". Released later in October 1988 was Peter and the Wolf, a collaboration with American composer Wendy Carlos. $ Total 5.0 people has voted the movie.$ And the movie has average vote as 8.2.$ The popularity of the movie is 1.679."
"""cherry"" (release on 2014-03-20) is released, and is an en film. The movie is a 39.0 minute long. Here's a short summary: Supreme presents ""cherry"" a video by William Strobeck featuring Tyshawn Jones Sage Elsesser Sean Pablo Nakel Smith Kevin Bradley Aidan Mackey Paulo Diaz Mark Gonzales Alex Olson Dylan Rieder Jason Dill… Movie's genres: Documentary. This film is notable for featuring Tyshawn Jones, Sage Elsesser, Na, kel Smith, Kevin Bradley among its cast members.$ Total 1.0 people has voted the movie.$ And the movie has average vote as 10.0.$ The popularity of the movie is 1.581."
"#1 Cheerleader Camp (release on 2010-07-27) is released, and is an en film. The movie is a 95.0 minute long. Here's a short summary: A pair of horny college guys get summer jobs at a sexy cheerleader camp. Movie's genres: Comedy. Tagline: ""Grab your spirit sticks!"" This film is notable for featuring Charlene Tilton, Jay Gillespie, Harmony Blossom, Hector David Jr., Erica Duke among its cast members.$ Total 84.0 people has voted the movie.$ And the movie has average vote as 4.8.$ The popularity of the movie is 9.185."
"#ALLMYMOVIES (release on 2015-11-12) is released, and is an en film. The movie is a 4320.0 minute long. Here's a short summary: Shia LaBeouf watches all his movies in reverse chronological order over a period of three days while you can via live stream watch him watch himself. Movie's genres: Documentary. This film is notable for featuring Shia LaBeouf among its cast members.$ Total 6.0 people has voted the movie.$ And the movie has average vote as 7.5.$ The popularity of the movie is 1.95."
"#AmeriCAN (release on 2014-10-29) is released, and is an en film. The movie is a 15.0 minute long. Here's a short summary: At the dinner table sits a white family: the father (a police officer) a mother and their two sons—a teenager and his younger brother. The teenager has an African-American friend J.B. whom he wants to hang out with but his father doesn’t want him leaving the house to meet up with J.B.—and especially not at night. “I want to keep you from bad situations” the father explains to his son—an eerie foretelling but more important indicative of the violence that this white man associates with all black boys even J.B. a black boy he knows personally and considers to be “a good kid.” This film is notable for featuring Joseph Millson, Sarah, Jane Potts, Jance Enslin, Shyhiem Parker among its cast members.$ The popularity of the movie is 1.4."
"#AnneFrank. Parallel Stories (release on 2019-10-18) is released, and is an en film. The movie is a 92.0 minute long. Here's a short summary: One single Anne Frank moves us more than the countless others who suffered just as she did but whose faces have remained in the shadows-Primo Levi. The Oscar®-winning Helen Mirren will introduce audiences to Anne Frank's story through the words in her diary. The set will be her room in the secret refuge in Amsterdam reconstructed in every detail by set designers from the Piccolo Theatre in Milan. Anne Frank this year would have been 90 years old. Anne's story is intertwined with that of five Holocaust survivors teenage girls just like her with the same ideals the same desire to live: Arianna Szörenyi Sarah Lichtsztejn-Montard Helga Weiss and sisters Andra and Tatiana Bucci. Their testimonies alternate with those of their children and grandchildren. Movie's genres: Documentary, Drama, History. This film is notable for featuring Helen Mirren, Anne Frank, Martina Gatti, Arianna Szorenyi among its cast members.$ Total 41.0 people has voted the movie.$ And the movie has average vote as 7.1.$ The popularity of the movie is 11.541."
"#BLESSED (release on 2020-04-30) is released, and is an en film. The movie is a 75.0 minute long. Here's a short summary: C3 is an Evangelical church that opened in Toronto in 2013 quickly amassing a large following amongst the city’s young hip and tattooed. #BLESSED offers an intimate look inside this fast-growing millennial church and follows the process of selling salvation in the 21st century as Pastor Sam and his team grow the church from two locations to three living out their mission to save as many Torontonian souls as possible. Movie's genres: Documentary.$ The popularity of the movie is 2.398."
"#Captured (release on 2017-09-05) is released, and is an en film. The movie is a 81.0 minute long. Here's a short summary: A zealous vigilante looking to clean the Internet of sin targets a group of teens that broadcast misadventures on their chatroom. Movie's genres: Horror, Thriller. Tagline: ""Cleansing the internet of all sin"" This film is notable for featuring Lizze Gordon, Cody Renee Cameron, Eve Marlowe, Adam Horner, Gabrielle Romanello among its cast members.$ Total 12.0 people has voted the movie.$ And the movie has average vote as 3.1.$ The popularity of the movie is 5.298."
